	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
O24	hBIC	6.115072	4.493106	73.47592963745971	7.705	13.5
O31	vBIC	17.771742	10.623421	59.777038176673955	5.801	9.892
O32	vBIC	8.091877	7.137609	88.20708718137955	9.261	18.697
O36	vBC	7.666774	6.990419	91.17810176744482	8.633	17.153
O39	vBC	29.326991	21.908073	74.702764426122	9.573	14.965
O41	vAAC	7.143151	4.068779	56.96056264245289	6.242	10.268
O44	vBIC	16.701952	13.956876	83.56434026394041	12.668	27.295
O46	vBC	50.334198	38.396865	76.28385178601633	15.017	33.867
O47	vBC	10.234061	9.113131	89.04706548065326	10.489	22.264
O48	vBC	9.090759	7.728408	85.01389157934997	9.934	20.311
O49	vBC	28.578828	9.531328	33.351010755234604	7.176	10.405
O52	vBC	14.879426	7.734422	51.980647640574304	12.3	25.121
O54	hBC	39.634862	9.740093	24.57456014354232	10.798	16.286
O55	vBC	32.320207	13.482177	41.7143893911323	7.676	11.734
O56	vBIC	11.067838	8.319767	75.17066115351525	8.291	15.523
O58	hBC	16.684939	8.679112	52.01764297729827	10.448	18.811
O60	vBC	13.775572	6.232858	45.24572917915859	7.643	11.581
O61	hBIC	7.319544	3.444862	47.063888132921946	7.641	12.698
O62	vBC	8.13704	5.322492	65.41066530335354	10.391	19.82
O65	hBC	9.737422	7.246399	74.41804411886432	12.132	24.582
O66	hBIC	14.954513	9.613077	64.28211336604542	10.205	18.672
O71	hBIC	4.68618	2.362299	50.40990742993227	10.046	16.925
O73	vBC	4.138461	2.08312	50.33561993214385	9.127	16.744
O76	vBIC	13.696245	2.112402	15.42322001395273	5.191	6.891
O78	hBIC	13.941555	10.077131	72.2812555701283	12.271	25.968
O80	vBC	12.444868	6.417361	51.566324367602775	11.993	23.379
O87	vBIC	11.525696	3.49411	30.315826480240325	9.434	15.9
O89	vAAC	14.034279	9.402238	66.99480607446952	9.755	18.862
O90	vBC	16.273184	9.632198	59.19061690693106	11.376	22.304
O100	vBC	11.47646	7.54579	65.75015292171977	11.314	23.143
O102	hBC	6.654522	5.085572	76.42279941369192	11.064	23.774
O103	vBC	16.145276	11.863215	73.47793249245167	10.19	20.025
O104	hBIC	11.173697	9.54778	85.44871048498987	10.359	21.318
O106	hBC	3.920709	2.847826	72.6354850615029	9.514	18.47
O109	vBC	5.286359	3.683115	69.67205594625715	11.265	23.502
O111	vBC	5.998654	5.080714	84.6975671542316	10.503	21.743
O113	vBC	6.970211	4.187253	60.073547271381024	5.509	8.555
O117	vBC	8.146077	2.163865	26.563277022792686	5.902	8.774
O125	hBIC	20.953709	14.933006	71.26664782831527	9.553	18.389
O127	vAAC	16.584274	14.080761	84.90429547895796	12.126	26.836
O128	vBC	17.070055	14.073466	82.4453465439918	9.618	18.773
O129	vBC	25.92377	21.225855	81.87796373752737	12.13	24.606
O130	vBC	20.520408	16.120679	78.55925184333566	11.734	24.038
O131	vBC	12.344107	7.525946	60.967925828899574	7.639	12.323
O132	vAAC	10.747858	7.375621	68.62410165820947	7.621	13.323
O134	vBIC	11.71475	9.004908	76.86811925137114	12.43	26.853
O135	vBC	13.066244	8.733502	66.84018758565966	7.201	12.541
O137	vBC	13.938749	7.632774	54.75939053067101	9.372	15.985
O141	vBIC	15.454212	11.279742	72.98814070882423	11.705	24.785
O145	vBC	10.226479	7.69459	75.24183054597775	9.615	17.962
O147	vAAC	14.09154	8.485449	60.2166193333021	10.662	19.099
O149	vAAC	13.885285	10.087889	72.65165245077793	11.42	22.599
O151	hBIC	16.348984	12.977843	79.38011927836004	11.639	24.192
O159	hBIC	11.200974	8.659593	77.31107134076018	7.979	12.848
O160	vBC	10.673433	7.357045	68.92857246585987	11.278	22.003
O162	hBC	10.532046	7.484301	71.06217538358645	9.921	17.506
O164	vAAC	8.331081	6.189513	74.29423624617262	11.442	22.727
O165	vBIC	8.766802	5.474553	62.446408621980964	9.271	16.028
O171	vBC	6.33572	4.283843	67.61414645849248	10.441	17.602
O204	vBC	20.643194	16.936721	82.04506046884022	13.9	28.619
O205	hBC	4.851473	4.058103	83.64682231561424	11.403	23.46
O210	vBC	19.008328	16.177758	85.10879021026994	13.99	30.325
O216	vBC	2.752153	1.905831	69.24872999429901	12.819	28.013
O222	vBC	29.928454	10.460273	34.95092997453194	12.713	22.078
O240	vBC	10.753482	4.351716	40.467971211557334	6.239	8.739
O242	vBC	4.478964	3.843049	85.80218550539811	11.54	24.676
O243	vBC	5.171458	3.652905	70.63588256928703	12.265	25.235
O248	hBC	7.206204	6.274842	87.07555323163207	12.699	27.867
O250	vBC	5.181996	4.428041	85.45049050597493	12.539	28.243
O255	vBC	4.367552	3.638023	83.29661558694666	10.501	20.164
O284	vBC	3.769446	3.218133	85.37416373652786	11.5	25.067
O285	vBC	5.755767	4.709894	81.82912894145994	10.479	20.529
O286	vBC	24.87755	20.010985	80.43792495643663	13.796	29.483
O287	vBC	4.853357	2.193151	45.1883304689929	7.911	12.849
O290	vBC	28.095792	18.736878	66.68926791599254	13.151	28.215
O292	vBC	30.140054	24.348641	80.784994612153	13.503	29.318
O296	vBC	27.791274	13.92329	50.09950245533904	11.921	21.893
O297	vBC	26.643035	20.326395	76.29158990332746	14.464	31.939
O299	vBC	9.037868	6.074245	67.20882624087893	10.727	20.947
O301	vBC	4.06905	3.471891	85.32436318059497	7.017	12.492
O427	hBIC	9.704665	7.260386	74.81336037874567	6.878	10.504
O430	vBC	10.211396	6.426676	62.93631154839161	11.465	21.318
O433	hBIC	8.774113	4.950493	56.42157788485286	5.904	8.505
O434	hBC	9.603928	6.669906	69.44977096871197	11.273	20.28
O435	vBC	11.168212	7.440197	66.61941051978599	7.437	11.466
O439	hBC	9.71228	7.625647	78.5155184982311	5.486	8.181
O440	hBC	10.21066	7.237023	70.87713233032927	10.71	18.546
O454	vBC	7.569083	3.845941	50.81118809240168	9.738	16.403
