Cell	Age	Dendritic length (cm)	Axon length (cm)	25 um	50 um	75 um	100 um	125 um	150 um	175 um	200 um	225 um	250 um
O206	11	0.5113085004360001	1.57663613416324	19.0	15.0	14.0	5.0	3.0	3.0	4.0	4.0	4.0	2.0
O208	11	0.5288133804400001	1.10671396788893	8.0	12.0	13.0	10.0	15.0	10.0	5.0	1.0	0.0	0.0
O251	11	0.7011166106279999	2.7723456960246	7.0	22.0	33.0	21.0	10.0	23.0	0.0	0.0	0.0	0.0
O211	15	0.8372791892920002	4.17274304840095	21.0	22.0	35.0	15.0	12.0	14.0	15.0	10.0	1.0	0.0
O216	16	0.5680509267720001	0.952420585358808	6.0	16.0	22.0	16.0	12.0	6.0	5.0	3.0	0.0	0.0
O218	16	0.591222451492	4.373783941019837	15.0	15.0	14.0	7.0	10.0	12.0	9.0	5.0	2.0	0.0
O233	17	0.26681717974800007	1.71265263580073	4.0	7.0	10.0	8.0	4.0	3.0	3.0	0.0	0.0	0.0
O229	19	0.492547356684	3.65632564723817	7.0	12.0	15.0	9.0	11.0	11.0	8.0	9.0	0.0	0.0
O171	23	0.7174278172945091	2.16897393446311	15.0	35.0	21.0	14.0	10.0	9.0	2.0	0.0	0.0	0.0
O145	24	0.8660409844791075	4.54742748298573	13.0	18.0	19.0	18.0	18.0	16.0	17.0	6.0	0.0	0.0
O103	29	0.665500298912	0.313806155806531	21.0	18.0	23.0	16.0	14.0	6.0	2.0	0.0	0.0	0.0
O46	29	0.8412641996640001	1.63029301795179	1.0	16.0	5.0	15.0	25.0	3.0	0.0	0.0	0.0	0.0
O47	30	0.487664848704	1.10958327672417	14.0	4.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0
O49	30	0.6711912812800002	1.23812340985722	16.0	6.0	6.0	8.0	10.0	10.0	10.0	17.0	13.0	3.0
O48	30	0.5280694231680001	1.04506449077936	8.0	8.0	9.0	10.0	14.0	19.0	9.0	0.0	0.0	0.0
O52	31	0.8001360140000001	2.4366877350898	11.0	17.0	21.0	29.0	21.0	15.0	5.0	0.0	0.0	0.0
O55	31	0.8721663455399999	3.91823911632173	7.0	23.0	15.0	8.0	7.0	16.0	10.0	13.0	14.0	8.0
O59	32	0.705210682684	3.53152589555733	7.0	15.0	15.0	20.0	18.0	16.0	14.0	5.0	0.0	0.0
O60	32	0.571176326588	3.96932755387139	9.0	15.0	14.0	11.0	3.0	5.0	9.0	4.0	4.0	5.0
O62	37			15.0	20.0	22.0	20.0	14.0	14.0	2.0	0.0	0.0	0.0
O73	47	0.6614105040720001	2.66501897961548	13.0	19.0	10.0	18.0	17.0	9.0	4.0	2.0	0.0	0.0
O80	58	0.6846098902035	2.3598555620191	5	5	6	8	8	9	13	8	8	8
O90	68	0.73542506	2.365841231	10	12	15	13	15	12	10	10	8	0
O454	27	0.698208724809123	2.29413543283889	3	10	23	22	22	20	21	14	12	6
