Cell	Face
L2/3 IT VISp Rrad	#DDF284
L2/3 IT VISp Adamts2	#A9E7AD
L2/3 IT VISp Agmat	#90EAB9
L2/3 IT ALM Sla	#BBD2B8
L2/3 IT ALM Ptrf	#DBFFE4
L2/3 IT ALM Macc1 Lrg1	#CCF0C8
L4 IT VISp Rspo1	#7BC9CC
L5 IT VISp Hsd11b1 Endou	#28E2CE
L5 IT VISp Whrn Tox2	#36FFF3
L5 IT VISp Batf3	#00A400
L5 IT VISp Col6a1 Fezf2	#0FFF0F
L5 IT VISp Col27a1	#38C571
L5 IT ALM Npw	#62BDD9
L5 IT ALM Pld5	#5BBAD7
L5 IT ALM Cbln4 Fezf2	#18B0A6
L5 IT ALM Lypd1 Gpr88	#63A979
L5 IT ALM Tnc	#1E95A9
L5 IT ALM Tmem163 Dmrtb1	#6FA372
L5 IT ALM Tmem163 Arhgap25	#055F0C
L5 IT ALM Cpa6 Gpr88	#229F3D
L5 IT ALM Gkn1 Pcdh19	#53879D
L6 IT ALM Tgfb1	#B2D6D4
L6 IT ALM Oprk1	#87A3AC
L6 IT VISp Penk Col27a1	#E0DCB5
L6 IT VISp Penk Fst	#CDD7A9
L6 IT VISp Col23a1 Adamts2	#F2F9D2
L6 IT VISp Col18a1	#C3EF87
L6 IT VISp Car3	#8146FF
L5 PT VISp Chrna6	#2525FF
L5 PT VISp Lgr5	#2E7B86
L5 PT VISp C1ql2 Ptgfr	#BBD5C4
L5 PT VISp C1ql2 Cdh13	#D0EFE2
L5 PT VISp Krt80	#31E14A
L5 PT ALM Slco2a1	#63D791
L5 PT ALM Npsr1	#ABD0C9
L5 PT ALM Hpgd	#50844A
L5 NP VISp Trhr Cpne7	#B2DEC4
L5 NP ALM Trhr Nefl	#4DA155
L5 NP VISp Trhr Met	#9AD8B3
L6 NP ALM Trh	#D6E5E1
L6 CT ALM Nxph2 Sla	#C1D9E4
L6 CT ALM Cpa6	#BFEDF0
L6 CT VISp Krt80 Sla	#2C7BA4
L6 CT VISp Nxph2 Wls	#6791CF
L6 CT VISp Ctxn3 Brinp3	#8BD3FF
L6 CT VISp Ctxn3 Sla	#D2E5F8
L6 CT VISp Gpr139	#85ACFF
L6b VISp Col8a1 Rprm	#96B7B7
L6b VISp Mup5	#72A5AB
L6b VISp Col8a1 Rxfp1	#99C2CA
L6b ALM Olfr111 Spon1	#336B88
L6b ALM Olfr111 Nxph1	#BEBCC8
L6b P2ry12	#6A95B5
L6b VISp Crh	#8E9EAF
L6b Hsd17b2	#60789D
Lamp5 Krt73	#F2E0EA
Lamp5 Fam19a1 Pax6	#FFE8EF
Lamp5 Fam19a1 Tmem182	#FFD8E4
Lamp5 Ntn1 Npy2r	#E278A1
Lamp5 Plch2 Dock5	#FF7F9A
Lamp5 Lsp1	#FFE5DD
Lamp5 Lhx6	#CF8C7A
Sncg Slc17a8	#BD89F8
Sncg Vip Nptx2	#BE5ACE
Sncg Gpr50	#CA7BD7
Sncg Vip Itih5	#CBA5E9
Serpinf1 Clrn1	#C65AFF
Serpinf1 Aqp5 Vip	#CE71FF
Vip Igfbp6 Car10	#E6E7F3
Vip Igfbp6 Pltp	#99A8D6
Vip Lmo1 Fam159b	#9A95C7
Vip Lmo1 Myl1	#B3BBFF
Vip Igfbp4 Mab21l1	#9A89BF
Vip Arhgap36 Hmcn1	#A8A2FF
Vip Gpc3 Slc18a3	#C9BDFF
Vip Ptprt Pkp2	#FF2AFF
Vip Rspo4 Rxfp1 Chat	#D577F1
Vip Lect1 Oxtr	#FFB1E8
Vip Rspo1 Itga4	#EDC6E3
Vip Chat Htr1f	#FF59C5
Vip Pygm C1ql1	#E7BBDB
Vip Crispld2 Htr2c	#CDA7CA
Vip Crispld2 Kcne4	#D4A8CA
Vip Col15a1 Pde1a	#B4489D
Sst Chodl	#F8F620
Sst Mme Fam114a1	#FFBF3E
Sst Tac1 Htr1d	#9D7349
Sst Tac1 Tacr3	#B46B1B
Sst Calb2 Necab1	#D17B51
Sst Calb2 Pdlim5	#DD9F7F
Sst Nr2f2 Necab1	#FFF3A3
Sst Myh8 Etv1	#DBCA1E
Sst Chrna2 Glra3	#FFDEB6
Sst Myh8 Fibin	#FFAE66
Sst Chrna2 Ptgdr	#FFBF2D
Sst Tac2 Myh4	#DAC669
Sst Hpse Sema3c	#CAAF2B
Sst Hpse Cbln4	#816C1B
Sst Crhr2 Efemp1	#EDD4CE
Sst Crh 4930553C11Rik	#C97D6D
Sst Esm1	#D97082
Sst Tac2 Tacstd2	#E1C594
Sst Rxfp1 Eya1	#A35D19
Sst Rxfp1 Prdm8	#87310E
Sst Nts	#CB7171
Pvalb Gabrg1	#EE5256
Pvalb Th Sst	#FF478C
Pvalb Calb1 Sst	#CD614F
Pvalb Akr1c18 Ntf3	#FF7575
Pvalb Sema3e Kank4	#CF5D5D
Pvalb Gpr149 Islr	#E62F61
Pvalb Reln Itm2a	#EDA1A0
Pvalb Reln Tac1	#DA3732
Pvalb Tpbg	#C67690
