vAAC	#D1443E
vBC	#A4D5EC
hBC	#008FCB
BC_young	#AAAAAA
vBIC	#F8B87D
hBIC	#F5F4CB
Cortical	#FFFF00
UCn	#00FFFF
.Tyrobp	#AB1EC9
.Ndrg4	#069DDE
.C1qa.Gorasp1	#35BE12
.Map6d1.Atg4a	#0187CC
.Map6d1.Mipep	#CAA326
Harris_00	#AA8710
Harris_01	#730797
Harris_02	#BC1A14
Harris_03	#393A61
Harris_04	#276CBB
Sst.Nos1	#BE00D7
Sst.Npy.Cort	#B800EC
Sst.Npy.Zbtb20	#AC00FF
Sst.Npy.Serpine2	#8309FF
Sst.Npy.Mgat4c	#7900FF
Sst.Pnoc.Calb1.Igfbp5	#5F00FF
Sst.Pnoc.Calb1.Pvalb	#4500FF
Sst.Pnoc.Pvalb	#2B00FF
Sst.Erbb4.Rgs10	#1100FF
Sst.Erbb4.Crh	#0008FF
Sst.Erbb4.Th	#0022FF
Pvalb.Tac1.Nr4a2	#003CFF
Pvalb.Tac1.Sst	#0056FF
Pvalb.Tac1.Syt2	#0070FF
Pvalb.Tac1.Akr1c18	#008AFF
Pvalb.C1ql1.Pvalb	#00A4FF
Pvalb.C1ql1.Cpne5	#00B5F3
Pvalb.C1ql1.Npy	#00BCDE
Cacna2d1.Lhx6.Reln	#00C1CC
Cacna2d1.Lhx6.Vwa5a	#00C4BA
Cacna2d1.Ndnf.Npy	#00C4A6
Cacna2d1.Ndnf.Rgs10	#00C492
Cacna2d1.Ndnf.Cxcl14	#00C47E
Calb2.Cryab	#00C46A
Sst.Cryab	#00C456
Ntng1.Synpr	#00C442
Ntng1.Rgs10	#00C42E
Ntng1.Chrm2	#00C41A
Cck.Sema5a	#00C406
Cck.Lmo1.Npy	#0CBA00
Cck.Calca	#1DAD00
Cck.Lmo1.Vip.Fam19a2	#2CA200
Cck.Lmo1.Vip.Crh	#389800
Cck.Lmo1.Vip.Tac2	#448F00
Cck.Lypd1	#4E8700
Cck.Cxcl14.Calb1.Tnfaip8l3	#578000
Cck.Cxcl14.Calb1.Igfbp5	#5F7A00
Cck.Cxcl14.Slc17a8	#677400
Cck.Cxcl14.Calb1.Kctd12	#6D6F00
Cck.Cxcl14.Calb1.Tac2	#736900
Cck.Cxcl14.Vip	#786200
Vip.Crh.Pcp4	#7E5A00
Vip.Crh.C1ql1	#855100
Calb2.Vip.Gpd1	#8D4700
Calb2.Vip.Igfbp4	#953C00
Calb2.Vip.Nos1	#9E3000
Calb2.Cntnap5a.Rspo3	#A92200
Calb2.Cntnap5a.Vip	#B51200
Calb2.Cntnap5a.Igfbp6	#C40000
Sst-OLM	#99FF66
OLM	#99FF66
Htr3a-OLM	#66FF99
Map6d1.Tmem205	#C4C2DE
Map6d1.Axin1	#D3D4E8
P2ry12.Fam110b	#E5E5F1
P2ry12.Bcl2a1b	#F2F0F7
Fcer1g.Bcl2a1b	#CBC9E2
Fcer1g.Hhatl	#F2F0F7
Map6d1.Sil1	#7E66B3
Map6d1.Stat5b	#9E9AC8
