	celltype	cc_directory	cc_ending	vc_directory	vc_ending
O100	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O102	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O103	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O104	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O106	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O109	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O111	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O113	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O114	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O117	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O125	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O127	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O128	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O129	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O130	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O131	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O132	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O134	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O135	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O136		Cclamp	_CC.atf		
O137	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O138	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O139	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O140		Cclamp	_CC.atf	Vclamp	_VC.atf
O141	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O144	DEL	Cclamp	_CC.atf	Vclamp	_VC.atf
O145	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O147	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O149	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O151	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O159	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O160	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O162	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O164	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O165	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O171	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O204	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
