CellType	Edge	Face	Marker
vAAC	#000000	#D1443E	o
vBC	#000000	#A4D5EC	o
hBC	#000000	#008FCB	o
vBIC	#000000	#F8B87D	o
hBIC	#000000	#F5F4CB	o
Cortical PV	#FF33FF	#FFFF00	h
UC	#FF33FF	#00FFFF	h
Layer 2/3 Pyramidal	#000000	#13A5C5	o
Layer I Astrocyte	#000000	#6E225D	o
Layer I Interneuron	#000000	#FABE8A	o
Cck+Vip	#000000	#2ED87C	o
No	#000000	#84BDD5	o
Npy/Mia	#000000	#D950BE	o
Pthlh	#000000	#EFF28C	o
Th	#000000	#D8E70F	o
Cortical CCK+ cell	#000000	#0282A3	o
SST-OLM	#000000	#0282A3	o
Htr3a-OLM	#000000	#EFF28C	o
