CellType	Edge	Face	Marker
Sst.Nos1	#000000	#BE00D7	o
Sst.Npy.Cort	#000000	#B800EC	*
Sst.Npy.Zbtb20	#000000	#AC00FF	>
Sst.Npy.Serpine2	#000000	#8309FF	v
Sst.Npy.Mgat4c	#000000	#7900FF	<
Sst.Pnoc.Calb1.Igfbp5	#000000	#5F00FF	^
Sst.Pnoc.Calb1.Pvalb	#000000	#4500FF	d
Sst.Pnoc.Pvalb	#000000	#2B00FF	s
Sst.Erbb4.Rgs10	#000000	#1100FF	x
Sst.Erbb4.Crh	#000000	#0008FF	p
Sst.Erbb4.Th	#000000	#0022FF	p
Pvalb.Tac1.Nr4a2	#000000	#003CFF	+
Pvalb.Tac1.Sst	#000000	#0056FF	o
Pvalb.Tac1.Syt2	#000000	#0070FF	*
Pvalb.Tac1.Akr1c18	#000000	#008AFF	>
Pvalb.C1ql1.Pvalb	#000000	#00A4FF	v
Pvalb.C1ql1.Cpne5	#000000	#00B5F3	<
Pvalb.C1ql1.Npy	#000000	#00BCDE	^
Cacna2d1.Lhx6.Reln	#000000	#00C1CC	d
Cacna2d1.Lhx6.Vwa5a	#000000	#00C4BA	s
Cacna2d1.Ndnf.Npy	#000000	#00C4A6	x
Cacna2d1.Ndnf.Rgs10	#000000	#00C492	p
Cacna2d1.Ndnf.Cxcl14	#000000	#00C47E	p
Calb2.Cryab	#000000	#00C46A	+
Sst.Cryab	#000000	#00C456	o
Ntng1.Synpr	#000000	#00C442	*
Ntng1.Rgs10	#000000	#00C42E	>
Ntng1.Chrm2	#000000	#00C41A	v
Cck.Sema5a	#000000	#00C406	<
Cck.Lmo1.Npy	#000000	#0CBA00	^
Cck.Calca	#000000	#1DAD00	d
Cck.Lmo1.Vip.Fam19a2	#000000	#2CA200	s
Cck.Lmo1.Vip.Crh	#000000	#389800	x
Cck.Lmo1.Vip.Tac2	#000000	#448F00	p
Cck.Lypd1	#000000	#4E8700	p
Cck.Cxcl14.Calb1.Tnfaip8l3	#000000	#578000	+
Cck.Cxcl14.Calb1.Igfbp5	#000000	#5F7A00	o
Cck.Cxcl14.Slc17a8	#000000	#677400	*
Cck.Cxcl14.Calb1.Kctd12	#000000	#6D6F00	>
Cck.Cxcl14.Calb1.Tac2	#000000	#736900	v
Cck.Cxcl14.Vip	#000000	#786200	<
Vip.Crh.Pcp4	#000000	#7E5A00	^
Vip.Crh.C1ql1	#000000	#855100	d
Calb2.Vip.Gpd1	#000000	#8D4700	s
Calb2.Vip.Igfbp4	#000000	#953C00	x
Calb2.Vip.Nos1	#000000	#9E3000	p
Calb2.Cntnap5a.Rspo3	#000000	#A92200	p
Calb2.Cntnap5a.Vip	#000000	#B51200	+
Calb2.Cntnap5a.Igfbp6	#000000	#C40000	o
