SRR	Cell
SRR6662223	GSM2975807
SRR6662224	GSM2975808
SRR6662225	GSM2975809
SRR6662226	GSM2975810
SRR6662227	GSM2975811
SRR6662228	GSM2975812
SRR6662229	GSM2975813
SRR6662230	GSM2975814
SRR6662231	GSM2975815
SRR6662232	GSM2975816
SRR6662233	GSM2975817
SRR6662234	GSM2975818
SRR6662235	GSM2975819
SRR6662236	GSM2975820
SRR6662237	GSM2975821
SRR6662238	GSM2975822
SRR6662239	GSM2975823
SRR6662240	GSM2975824
SRR6662241	GSM2975825
SRR6662242	GSM2975826
SRR6662243	GSM2975827
SRR6662244	GSM2975828
SRR6662245	GSM2975829
SRR6662246	GSM2975830
SRR6662247	GSM2975831
SRR6662248	GSM2975832
SRR6662249	GSM2975833
SRR6662250	GSM2975834
SRR6662251	GSM2975835
SRR6662252	GSM2975836
SRR6662253	GSM2975837
SRR6662254	GSM2975838
SRR6662255	GSM2975839
SRR6662256	GSM2975840
SRR6662257	GSM2975841
SRR6662258	GSM2975842
SRR6662259	GSM2975843
SRR6662260	GSM2975844
SRR6662261	GSM2975845
SRR6662262	GSM2975846
SRR6662263	GSM2975847
SRR6662264	GSM2975848
SRR6662265	GSM2975849
SRR6662266	GSM2975850
SRR6662267	GSM2975851
SRR6662268	GSM2975852
SRR6662269	GSM2975853
SRR6662270	GSM2975854
SRR6662271	GSM2975855
SRR6662272	GSM2975856
SRR6662273	GSM2975857
SRR6662274	GSM2975858
SRR6662275	GSM2975859
SRR6662276	GSM2975860
SRR6662277	GSM2975861
SRR6662278	GSM2975862
SRR6662279	GSM2975863
SRR6662280	GSM2975864
SRR6662281	GSM2975865
SRR6662282	GSM2975866
SRR6662283	GSM2975867
SRR6662284	GSM2975868
SRR6662285	GSM2975869
SRR6662286	GSM2975870
SRR6662287	GSM2975871
SRR6662288	GSM2975872
SRR6662289	GSM2975873
SRR6662290	GSM2975874
SRR6662291	GSM2975875
SRR6662292	GSM2975876
SRR6662293	GSM2975877
