SRA	Cell
SRR7322881	F0S4_150820_019_A01
SRR7323629	F0S4_150820_019_B01
SRR7322992	F0S4_150820_019_C01
SRR7323740	F0S4_150820_019_D01
SRR7321958	F0S4_150820_019_E01
SRR7322069	F0S4_150820_019_F01
SRR7322180	F0S4_150820_019_G01
SRR7322291	F0S4_150820_019_H01
SRR7335295	F2S4_151217_005_A01
SRR7335406	F2S4_151217_005_B01
SRR7335517	F2S4_151217_005_C01
SRR7335628	F2S4_151217_005_D01
SRR7335739	F2S4_151217_005_E01
SRR7335751	F2S4_151217_005_F01
SRR7335762	F2S4_151217_005_G01
SRR7335773	F2S4_151217_005_H01
SRR7335784	F2S4_151217_006_A01
SRR7335296	F2S4_151217_006_B01
SRR7335307	F2S4_151217_006_C01
SRR7335318	F2S4_151217_006_D01
SRR7335329	F2S4_151217_006_E01
SRR7335340	F2S4_151217_006_F01
SRR7335351	F2S4_151217_006_G01
SRR7335362	F2S4_151217_006_H01
SRR7335373	F2S4_151217_009_A01
SRR7335384	F2S4_151217_009_B01
SRR7335395	F2S4_151217_009_C01
SRR7335407	F2S4_151217_009_D01
SRR7335418	F2S4_151217_009_E01
SRR7335429	F2S4_151217_009_F01
SRR7335440	F2S4_151217_009_G01
SRR7335451	F2S4_151217_009_H01
SRR7335462	F2S4_151217_010_A01
SRR7335473	F2S4_151217_010_B01
SRR7335484	F2S4_151217_010_C01
SRR7335495	F2S4_151217_010_D01
SRR7335506	F2S4_151217_010_E01
SRR7335518	F2S4_151217_010_F01
SRR7335529	F2S4_151217_010_G01
SRR7335540	F2S4_151217_010_H01
SRR7335551	F2S4_151217_013_A01
SRR7335562	F2S4_151217_013_B01
SRR7335573	F2S4_151217_013_C01
SRR7335584	F2S4_151217_013_D01
SRR7335595	F2S4_151217_013_E01
SRR7335606	F2S4_151217_013_F01
SRR7335617	F2S4_151217_013_G01
SRR7335629	F2S4_151217_013_H01
SRR7335640	F2S4_151217_014_A01
SRR7335651	F2S4_151217_014_B01
SRR7335662	F2S4_151217_014_C01
SRR7335673	F2S4_151217_014_D01
SRR7335684	F2S4_151217_014_E01
SRR7335695	F2S4_151217_014_F01
SRR7335706	F2S4_151217_014_G01
SRR7335717	F2S4_151217_014_H01
SRR7334082	F2S4_151223_004_A01
SRR7334193	F2S4_151223_004_B01
SRR7334307	F2S4_151223_004_C01
SRR7334418	F2S4_151223_004_D01
SRR7334529	F2S4_151223_004_E01
SRR7334541	F2S4_151223_004_F01
SRR7334552	F2S4_151223_004_G01
SRR7334563	F2S4_151223_004_H01
SRR7334574	F2S4_151223_005_A01
SRR7334083	F2S4_151223_005_B01
SRR7334094	F2S4_151223_005_C01
SRR7334105	F2S4_151223_005_D01
SRR7334116	F2S4_151223_005_E01
SRR7334127	F2S4_151223_005_F01
SRR7334138	F2S4_151223_005_G01
SRR7334149	F2S4_151223_005_H01
SRR7334160	F2S4_151223_006_A01
SRR7334171	F2S4_151223_006_B01
SRR7334182	F2S4_151223_006_C01
SRR7334194	F2S4_151223_006_D01
SRR7334205	F2S4_151223_006_E01
SRR7334216	F2S4_151223_006_F01
SRR7334227	F2S4_151223_006_G01
SRR7334241	F2S4_151223_006_H01
SRR7334252	F2S4_151223_015_A01
SRR7334263	F2S4_151223_015_B01
SRR7334274	F2S4_151223_015_C01
SRR7334285	F2S4_151223_015_D01
SRR7334296	F2S4_151223_015_E01
SRR7334308	F2S4_151223_015_F01
SRR7334319	F2S4_151223_015_G01
SRR7334330	F2S4_151223_015_H01
SRR7334341	F2S4_151223_016_A01
SRR7334352	F2S4_151223_016_B01
SRR7334363	F2S4_151223_016_C01
SRR7334374	F2S4_151223_016_D01
SRR7334385	F2S4_151223_016_E01
SRR7334396	F2S4_151223_016_F01
SRR7334407	F2S4_151223_016_G01
SRR7334419	F2S4_151223_016_H01
SRR7323103	F0S4_150820_020_A01
SRR7323851	F0S4_150820_020_B01
SRR7323214	F0S4_150820_020_C01
SRR7323962	F0S4_150820_020_D01
SRR7322402	F0S4_150820_020_E01
SRR7322414	F0S4_150820_020_F01
SRR7322425	F0S4_150820_020_G01
SRR7322436	F0S4_150820_020_H01
SRR7335728	F2S4_151217_007_A01
SRR7335740	F2S4_151217_007_B01
SRR7335742	F2S4_151217_007_C01
SRR7335743	F2S4_151217_007_D01
SRR7335744	F2S4_151217_007_E01
SRR7335745	F2S4_151217_007_F01
SRR7335746	F2S4_151217_007_G01
SRR7335747	F2S4_151217_007_H01
SRR7335748	F2S4_151217_008_A01
SRR7335749	F2S4_151217_008_B01
SRR7335750	F2S4_151217_008_C01
SRR7335752	F2S4_151217_008_D01
SRR7335753	F2S4_151217_008_E01
SRR7335754	F2S4_151217_008_F01
SRR7335755	F2S4_151217_008_G01
SRR7335756	F2S4_151217_008_H01
SRR7335757	F2S4_151217_012_A01
SRR7335758	F2S4_151217_012_B01
SRR7335759	F2S4_151217_012_C01
SRR7335760	F2S4_151217_012_D01
SRR7335761	F2S4_151217_012_E01
SRR7335763	F2S4_151217_012_F01
SRR7335764	F2S4_151217_012_G01
SRR7335765	F2S4_151217_012_H01
SRR7334430	F2S4_151223_001_A01
SRR7334441	F2S4_151223_001_B01
SRR7334452	F2S4_151223_001_C01
SRR7334463	F2S4_151223_001_D01
SRR7334474	F2S4_151223_001_E01
SRR7334485	F2S4_151223_001_F01
SRR7334496	F2S4_151223_001_G01
SRR7334507	F2S4_151223_001_H01
SRR7334518	F2S4_151223_009_A01
SRR7334530	F2S4_151223_009_B01
SRR7334532	F2S4_151223_009_C01
SRR7334533	F2S4_151223_009_D01
SRR7334534	F2S4_151223_009_E01
SRR7334535	F2S4_151223_009_F01
SRR7334536	F2S4_151223_009_G01
SRR7334537	F2S4_151223_009_H01
SRR7334538	F2S4_151223_010_A01
SRR7334539	F2S4_151223_010_B01
SRR7334540	F2S4_151223_010_C01
SRR7334542	F2S4_151223_010_D01
SRR7334543	F2S4_151223_010_E01
SRR7334544	F2S4_151223_010_F01
SRR7334545	F2S4_151223_010_G01
SRR7334546	F2S4_151223_010_H01
SRR7334547	F2S4_151223_011_A01
SRR7334548	F2S4_151223_011_B01
SRR7334549	F2S4_151223_011_C01
SRR7334550	F2S4_151223_011_D01
SRR7334551	F2S4_151223_011_E01
SRR7334553	F2S4_151223_011_F01
SRR7334554	F2S4_151223_011_G01
SRR7334555	F2S4_151223_011_H01
SRR7334556	F2S4_151223_012_A01
SRR7334557	F2S4_151223_012_B01
SRR7334558	F2S4_151223_012_C01
SRR7334559	F2S4_151223_012_D01
SRR7334560	F2S4_151223_012_E01
SRR7334561	F2S4_151223_012_F01
