SRR	Cell
SRR7334474	F2S4_151223_001_E01
SRR7334570	F2S4_151223_013_F01
SRR7334159	F2S4_151223_002_A01
SRR7327022	F2S4_160115_018_D01
SRR7327461	F2S4_160115_007_A01
SRR7332466	F2S4_160120_001_A01
SRR7332711	F2S4_160120_007_H01
SRR7327029	F2S4_160115_023_F01
SRR7332590	F2S4_160120_027_B01
SRR7320182	F2S4_160202_013_H01
SRR7320241	F2S4_160217_001_F01
SRR7336277	F2S4_160126_035_C01
SRR7336289	F2S4_160127_001_F01
SRR7335877	F2S4_160127_014_E01
SRR7335954	F2S4_160128_017_B01
SRR7327877	F2S4_160304_012_H01
SRR7334527	F2S4_160303_016_B01
SRR7336772	F2S4_160317_010_C01
SRR7336358	F2S4_160317_018_H01
SRR7336456	F2S4_160317_023_H01
SRR7336487	F2S4_160321_027_D01
SRR7336536	F2S4_160317_028_H01
SRR7336638	F2S4_160329_008_D01
SRR7336878	F2S4_160330_010_F01
SRR7336946	F2S4_160330_028_C01
SRR7330302	F2S4_160401_001_A01
SRR7330568	F2S4_160401_004_A01
SRR7327531	F2S4_160404_022_D01
SRR7327680	F2S4_160404_026_B01
SRR7327759	F2S4_160405_040_A01
SRR7327835	F2S4_160404_044_E01
SRR7337170	F2S4_160128_024_E01
SRR7328913	F2S4_160405_011_G01
SRR7335056	F2S4_160415_007_E01
SRR7334724	F2S4_160415_020_D01
SRR7328182	F2S4_160413_015_A01
SRR7337540	F2S4_160422_008_D01
SRR7332635	F2S4_160426_008_C01
SRR7314743	F2S4_160425_007_F01
SRR7318693	F2S4_160420_013_C01
SRR7318739	F2S4_160421_018_E01
SRR7334811	F2S4_160429_002_B01
SRR7334880	F2S4_160429_005_A01
SRR7334937	F2S4_160429_011_D01
SRR7334955	F2S4_160502_010_D01
SRR7334968	F2S4_160502_011_H01
SRR7335004	F2S4_160429_015_A01
SRR7335154	F2S4_160502_002_B01
SRR7314006	F2S4_160503_006_A01
SRR7315261	F2S4_160210_005_B01
SRR7318819	F2S4_160421_003_E01
SRR7317467	F2S4_160506_001_F01
SRR7317590	F2S4_160505_017_E01
SRR7316727	F2S4_160520_018_F01
SRR7316448	F2S4_160520_007_E01
SRR7316490	F2S4_160520_016_B01
SRR7312916	F2S4_160525_014_A01
SRR7317827	F2S4_160524_008_C01
SRR7317830	F2S4_160524_008_F01
SRR7314785	F2S4_160607_001_E01
SRR7314794	F2S4_160607_002_E01
SRR7330277	F2S4_160609_001_F01
SRR7313310	F2S4_160613_004_E01
SRR7337454	F2S4_160516_010_F01
SRR7337545	F2S4_160516_030_H01
SRR7337550	F2S4_160516_031_E01
SRR7331007	F2S4_160616_006_F01
SRR7326648	F2S4_160617_001_G01
SRR7320081	F2S4_160620_018_F01
SRR7331141	F2S4_160622_012_G01
SRR7331200	F2S4_160622_013_D01
SRR7330381	F2S4_160627_017_F01
SRR7317048	F2S4_160627_007_F01
SRR7333037	F2S4_160701_019_G01
SRR7315516	F2S4_160706_059_H01
SRR7313525	F2S4_160708_005_C01
SRR7313526	F2S4_160708_005_D01
SRR7333199	F2S4_160706_020_A01
SRR7333674	F2S4_160701_013_A01
SRR7333730	F2S4_160701_002_D01
SRR7333470	F2S4_160701_003_F01
SRR7329470	F2S4_160713_002_E01
SRR7338126	F2S4_160127_018_C01
