Gene	Index	Chromosome	Start	End
Hba-a1	1	11	32283511	32283801
Hba-a1	2a	11	32283811	32283924
Hba-a1	2b	11	32283924	32284128
Hba-a1	3a	11	32284263	32284438
Hba-a1	3b	11	32284438	32284465
Hba-a2	1	11	32296489	32296618
Hba-a2	2a	11	32296628	32296741
Hba-a2	2b	11	32296741	32296945
Hba-a2	3a	11	32297080	32297255
Hba-a2	3b	11	32297255	32297298
Hba-ps3	1	15	56171988	56172389
Hba-ps4	1	17	26286940	26287061
Hba-ps4	2	17	26286630	26286834
Hba-ps4	3	17	26286363	26286482
Hba-x	1	11	32276400	32276758
Hba-x	2	11	32276893	32277029
Hba-x	3	11	32277569	32277773
Hba-x	4	11	32277880	32278116
Hbb-bh0	1	7	103850020	103850148
Hbb-bh1	1	7	103843019	103843164
Hbb-bh1	2	7	103842691	103842913
Hbb-bh1	3	7	103841637	103841880
Hbb-bh2	1	7	103840336	103840520
Hbb-bh2	2	7	103840028	103840250
Hbb-bh2	3	7	103839124	103839273
Hbb-bh3	1	7	103833648	103833723
Hbb-bh3	2	7	103833464	103833530
Hbb-bh3	3	7	103832628	103832750
Hbb-bs	1	7	103828012	103828096
Hbb-bs	2a	7	103827886	103827928
Hbb-bs	2b	7	103827784	103827886
Hbb-bs	3a	7	103827670	103827725
Hbb-bs	3b	7	103827452	103827670
Hbb-bs	3c	7	103827448	103827452
Hbb-bs	4a	7	103826728	103826793
Hbb-bs	4b	7	103826534	103826728
Hbb-bt	1	7	103813778	103813996
Hbb-bt	2	7	103813439	103813661
Hbb-bt	3	7	103812524	103812784
Hbb-y	1	7	103853061	103853216
Hbb-y	2	7	103852748	103852970
Hbb-y	3	7	103851749	103852002
Hbegf	1	18	36515468	36515805
Hbegf	2	18	36515087	36515260
Hbegf	3	18	36512557	36512734
Hbegf	4	18	36507449	36507604
Hbegf	5	18	36506635	36506725
Hbegf	6	18	36504929	36506364
Hbp1	1a	12	31950234	31950535
Hbp1	1b	12	31950223	31950234
Hbp1	1c	12	31950221	31950223
Hbp1	1d	12	31950210	31950221
Hbp1	1e	12	31950196	31950210
Hbp1	1f	12	31950170	31950196
Hbp1	1g	12	31950131	31950170
Hbp1	1h	12	31950105	31950131
Hbp1	2	12	31949575	31949608
Hbp1	3	12	31943829	31944012
Hbp1	4a	12	31940407	31940506
Hbp1	4b	12	31940278	31940407
Hbp1	4c	12	31939751	31940278
Hbp1	5	12	31937618	31937759
Hbp1	6	12	31937170	31937281
Hbp1	7a	12	31937045	31937084
Hbp1	7b	12	31936972	31937045
Hbp1	7c	12	31936459	31936972
Hbp1	8a	12	31934441	31934803
Hbp1	8b	12	31934342	31934441
Hbp1	8c	12	31934285	31934342
Hbp1	9	12	31933357	31933501
Hbp1	10	12	31932833	31933031
Hbp1	11a	12	31930924	31931005
Hbp1	11b	12	31930813	31930924
Hbp1	11c	12	31930682	31930813
Hbp1	11d	12	31929383	31930682
Hbp1	12	12	31928584	31928725
Hbp1	13	12	31926254	31927507
Hbq1a	1	11	32300069	32300212
Hbq1a	2	11	32300308	32300512
Hbq1a	3	11	32300619	32300873
Hbq1b	1a	11	32286965	32287001
Hbq1b	1b	11	32287001	32287107
Hbq1b	2a	11	32287203	32287407
Hbq1b	2b	11	32287407	32287514
Hbq1b	2c	11	32287514	32287727
Hbq1b	2d	11	32287727	32287784
Hbs1l	1a	10	21295979	21296009
Hbs1l	1b	10	21296009	21296018
Hbs1l	1c	10	21296018	21296030
Hbs1l	1d	10	21296030	21296033
Hbs1l	1e	10	21296033	21296038
Hbs1l	1f	10	21296038	21296058
Hbs1l	1g	10	21296058	21296176
Hbs1l	2a	10	21299178	21299225
Hbs1l	2b	10	21299225	21299243
Hbs1l	3	10	21304530	21304643
Hbs1l	4	10	21307585	21307779
Hbs1l	5a	10	21309099	21309314
Hbs1l	5b	10	21309314	21309743
Hbs1l	5c	10	21309743	21311206
Hbs1l	5d	10	21311206	21311209
Hbs1l	6a	10	21336967	21336974
Hbs1l	6b	10	21336974	21336976
Hbs1l	6c	10	21336976	21337075
Hbs1l	6d	10	21337075	21337176
Hbs1l	7	10	21341714	21341979
Hbs1l	8	10	21342399	21342564
Hbs1l	9a	10	21344672	21345077
Hbs1l	9b	10	21345077	21345151
Hbs1l	9c	10	21345151	21345194
Hbs1l	10	10	21347262	21347408
Hbs1l	11	10	21349312	21349386
Hbs1l	12	10	21351927	21352044
Hbs1l	13a	10	21352542	21352553
Hbs1l	13b	10	21352553	21352604
Hbs1l	13c	10	21352604	21352610
Hbs1l	14a	10	21354639	21354650
Hbs1l	14b	10	21354650	21354743
Hbs1l	15	10	21358313	21358403
Hbs1l	16	10	21358732	21358840
Hbs1l	17a	10	21364675	21364775
Hbs1l	17b	10	21364775	21365166
Hbs1l	18a	10	21367401	21367642
Hbs1l	18b	10	21367642	21367786
Hbs1l	19a	10	21368289	21368543
Hbs1l	19b	10	21368543	21368883
Hbs1l	19c	10	21368883	21368898
